mode,time,filtered_x,filtered_y,gt_x,gt_y,position_error,yaw_error_rad
odom,202.83,1.1653504233674175,0.00039303907294686483,1.170528055139643,-0.011066177492961238,0.012574637771051023,0.006665406732525697
odom,202.89,1.1803490280754727,0.0004010023474635838,1.1807214991901542,-0.011148727132977765,0.01155573389286237,0.0066410715489121945
odom,202.95,1.1953479375528786,0.0004102130264748148,1.2013639207731304,-0.011494062644546332,0.013338059579939531,0.00713622494580319
odom,203.03,1.215316123113351,0.00042513959207770316,1.22225563334902,-0.011701520263205367,0.013971853189777292,0.007680122834141464
odom,203.09,1.2303045114095368,0.00043765762283865873,1.2328206515821698,-0.011775783535778572,0.012469928079317183,0.008018333203801046
odom,203.15,1.2452470093755499,0.0004515630870163581,1.254114813851448,-0.011978455431390422,0.015269031291823769,0.008090602714809741
odom,203.23,1.2651641596688754,0.0004708154928129842,1.2761346954407147,-0.012148553476333479,0.01672127771136708,0.00766428752513646
odom,203.29,1.2801123905221772,0.0004852723572391276,1.2873183127583845,-0.012185440924316726,0.014576429272550352,0.007647074109845757
odom,203.35,1.2950832464631954,0.0004998005722696046,1.3103686676056014,-0.012296083423543713,0.0199343609562741,0.007575850450232947
odom,203.43,1.3151217075939339,0.000519229590517169,1.3333357532402976,-0.012360427547291053,0.022307779512881074,0.007359332029716468
odom,203.49,1.3302542325873266,0.0005339118912482113,1.3441082306196614,-0.012361037875210812,0.018926515552510997,0.007179711117637344
odom,203.55,1.3453780826689334,0.0005483783392175612,1.3638341274406267,-0.012448880998003453,0.02257331032200916,0.0072705473633099165
odom,203.63,1.3654300640408072,0.0005669895453544969,1.3824444660149293,-0.012659550268887987,0.02155066657889613,0.007597244834843432
odom,203.69,1.3804565059646239,0.0005801272555197483,1.3916472633927803,-0.01282744117077339,0.01746413304236919,0.0075978533606152875
odom,203.75,1.395433702791553,0.0005922071396858029,1.41049832215821,-0.013054811428245827,0.02032692481551802,0.007574217386930964
odom,203.83,1.4154256346412688,0.0006069753478828463,1.429837651571316,-0.0132232013482243,0.01997448420954877,0.00765579715629254
odom,203.89,1.4304168733616907,0.0006176964431837847,1.4394562248086586,-0.013270328688499422,0.016570670373888517,0.007650525925704133
odom,203.95,1.4454035025446923,0.000628630247329489,1.4590142072571153,-0.01338707496359115,0.019536920825150548,0.007967440936366588
odom,204.03,1.4653983049380164,0.0006440450530125465,1.4787015846649156,-0.01360050379727662,0.019490623987969274,0.007870283842936374
odom,204.09,1.480390229603044,0.0006547381840338372,1.488558387557383,-0.013760601109534143,0.01656866956987539,0.007764921493435223
odom,204.15,1.4953856778810644,0.0006646179119776365,1.5085389401282168,-0.013941342733244877,0.019655594473639144,0.007873430225057803
odom,204.23,1.515373192962028,0.0006771909823969726,1.5285430224914354,-0.014083797085506777,0.01978209237099168,0.007918283497680416
odom,204.29,1.530382590355249,0.0006865495678363654,1.5384807863522516,-0.014171368314735755,0.016921539593403576,0.007938081430726721
odom,204.35,1.5453753785033997,0.0006959138222298271,1.5584059274307194,-0.014345734370034169,0.019900914192245323,0.007981655636934155
odom,204.43,1.5653743029862164,0.0007084481879093778,1.5783954638178912,-0.014525102961995273,0.020040252244947012,0.007986326885613461
odom,204.49,1.5803797158503423,0.0007178586836573522,1.5884134933778338,-0.014615005253913793,0.01731006348599844,0.007976417059243701
odom,204.55,1.5953817819672604,0.000727093055044768,1.6084899447196674,-0.01475797164151249,0.02028820246843358,0.007826461939192638
odom,204.63,1.6153840504162182,0.000739104458911026,1.6284894047155722,-0.01490363165744979,0.02040699645998145,0.00783150252781518
odom,204.69,1.6303856309189377,0.0007479917846016157,1.638490573601958,-0.01497619327924804,0.01769011282658297,0.007830077628818488
odom,204.75,1.6453870873001866,0.0007568140270600815,1.6584899311860326,-0.015117885065097258,0.02058374575152428,0.007826353824390451
odom,204.83,1.6653922324375228,0.0007684998811130637,1.678502466171616,-0.015264018597109796,0.02071038090709853,0.007836198599673846
odom,204.89,1.6803989521375338,0.00077723662989265,1.6885152695176124,-0.015329610024601426,0.018036216814109166,0.007843078444755828
odom,204.95,1.6953855675151952,0.0007859425131951201,1.7088279073435002,-0.015483764985315673,0.021104499097271495,0.007852321268289685
odom,205.03,1.71538463038733,0.0007972707806916303,1.7294432092964467,-0.015548209974139748,0.021559647076202938,0.007615533138394743
odom,205.09,1.7303876171351973,0.0008056087094872025,1.739898754114284,-0.015673680154773884,0.019027051482211097,0.007916731808129919
odom,205.15,1.7453668537888594,0.0008141263985956078,1.7607689614529463,-0.015809347752245184,0.022661968434798337,0.007453945470454441
odom,205.23,1.7653481276157785,0.0008250699872917035,1.7820340416942857,-0.015870106568661058,0.02360399645970484,0.007549497023372037
odom,205.29,1.780328447120622,0.0008331227427312385,1.7928984896279623,-0.015940549951654948,0.020960965251980608,0.007445818594605843
odom,205.35,1.7952982605096197,0.0008408262917647101,1.814881964610274,-0.016032921140731293,0.025850431693061754,0.007809141630614965
odom,205.43,1.8152683338115654,0.0008518209286062574,1.8374036750076304,-0.01606308659993383,0.027858345725568005,0.007842888987810936
odom,205.49,1.8302868531584824,0.0008600772688733509,1.8486611892748552,-0.016067456256469548,0.024983146698705737,0.007828908390937006
odom,205.55,1.8453761047290194,0.0008683719538254922,1.8700382134282068,-0.01616038910663642,0.02996995676915197,0.0074208799457321515
odom,205.63,1.8654610994894816,0.0008793337822214506,1.8894009522056097,-0.016351380493110135,0.02949600078837843,0.007761093724512319
odom,205.69,1.880541640173639,0.0008862730139180384,1.8984814845363687,-0.016414527719613048,0.024922995842801745,0.006985556762532317
odom,205.75,1.8955780877640453,0.000891186253221694,1.9167166650735217,-0.01676377850337385,0.027541554626152428,0.007384941647985873
odom,205.83,1.9155799518719816,0.0008949014602549542,1.9352461170298563,-0.0170731036005618,0.026638454495002906,0.007857983356039799
odom,205.89,1.9305736827864972,0.0008971884077726063,1.9446634630164885,-0.017191035016490996,0.022928273671943385,0.007911571495653563
odom,205.95,1.9455534527405083,0.000898757619229883,1.9639708515509167,-0.017367075234520524,0.0259391832713133,0.00801393887239519
odom,206.03,1.9655400592930152,0.0009013579288168351,1.9835575047890064,-0.017546024886671674,0.02578631953075492,0.007880484799646717
odom,206.09,1.9805396080394364,0.0009031829221524803,1.9934277082736829,-0.017681812109104023,0.022616480008166896,0.007945628003021718
odom,206.15,1.9955377128717657,0.0009048923465105409,2.0130455371891687,-0.017870621021736977,0.02567184867847049,0.008144540369668551
odom,206.23,2.011803416334052,0.0009064031565603121,2.0295749167517068,-0.018178853939652573,0.02607821438525351,0.0067491367688465006
